name,relevance,note,contact_name,position,email
Skydio,Vision-based GPS-denied quadcopter autonomy for public safety and inspection; aerial sim plus synthetic obstacle/scene data train the perception loop.,autonomous quadcopters and drone-in-a-box stations,,,
BRINC Drones,911-response and indoor-capable public-safety drones; aerial sim plus synthetic indoor and breach scenes feed perception and policy training.,911-response and public-safety drones plus drone-in-a-box stations,,,
Quantum Systems,eVTOL fixed-wing ISR drones for NATO militaries and Ukraine; long-endurance flight sim plus synthetic terrain/target data are central to mission training.,eVTOL fixed-wing reconnaissance and surveillance drones,,,
Tekever,Medium-endurance maritime ISR drones over the ocean; sea-state sim plus synthetic maritime-target imagery train detection at range.,autonomous maritime surveillance and ISR drones,,,
Saildrone,Long-endurance uncrewed surface vessels for maritime domain awareness; ocean sim plus synthetic vessel/buoy imagery feed perception training.,wind- and solar-powered uncrewed surface vessels,,,
HavocAI,Autonomous surface drone boats run in swarms for navies; multi-agent maritime sim plus synthetic coordination data feed the swarm autonomy stack.,autonomous surface vessel swarms for naval missions,,,
Blue Water Autonomy,Full-size unmanned autonomous ocean-going ships; long-voyage sim plus synthetic maritime data are critical pre-deployment.,full-size unmanned autonomous ocean-going ships,,,
Gecko Robotics,"Climbing, flying, and swimming inspection robots feeding the Cantilever AI platform; physics-tuned contact sim plus synthetic defect imagery accelerate field deployment.","wall-climbing, flying, and swimming infrastructure-inspection robots",,,
ANYbotics,ANYmal quadruped patrols refineries and plants including explosive atmospheres; legged-locomotion sim plus synthetic industrial-scene data feed policy training.,ANYmal four-legged industrial inspection robot,,,
Voliro,Tilt-rotor drones perform contact ultrasonic testing on infrastructure; aerial-contact sim plus synthetic defect/ultrasonic data are essential for the touch-the-asset behaviour.,tilt-rotor contact drones for non-destructive infrastructure testing,,,
Aerones,"Climbing robots inspect, clean, and repair turbine blades; tower-cell sim plus synthetic blade-defect imagery feed AI inspection.","wind-turbine climbing inspection, cleaning, and repair robots",,,
Square Robot,Submersible robots inspect in-service fuel and chemical tanks while full; submerged sim plus synthetic tank-floor imagery train inspection during live operations.,submersible in-service tank-floor inspection robots,,,
Forterra,AutoDrive retrofit turns tactical and terminal vehicles uncrewed; off-road sim plus synthetic terrain/route data feed retrofit autonomy training.,retrofit autonomous driving system for military and industrial ground vehicles,,,
Overland AI,DARPA-RACER-derived off-road autonomy plus ULTRA UGV; off-road sim plus synthetic terrain/obstacle data are central to contested-logistics missions.,off-road ground autonomy software and ULTRA UGV,,,
ARX Robotics,"Modular Gereon UGVs for logistics, casevac, and recon; off-road sim plus synthetic battlefield data feed the Mithra autonomy stack.",modular unmanned ground vehicles and battlefield autonomy software,,,
Scout AI,Fury vision-language-action model for defense robots in comms- and GPS-denied environments; foundation-model sim plus synthetic multimodal data feed training directly.,vision-language-action foundation model for defense ground and aerial robots,,,
Fortem Technologies,Net-gun counter-UAS interceptor paired with radar and command software; aerial-engagement sim plus synthetic intercept scenarios accelerate interceptor training.,autonomous counter-UAS interceptor drone with net guns,,,
Asylon Robotics,Patrol drones and DroneDog Spot under one Guardian stack; mixed indoor/outdoor sim plus synthetic patrol scenes feed the autonomy.,robotic security-as-a-service with patrol drones and DroneDog quadruped,,,
